enter,review,label
NAVER,재택근무 좋고 수당빵빵하다재택중에도 열심히 협업해주는 동료들이 든든하다사내 복지 좋고 자유도가 확보되어 좋음,1
NAVER,재택근무라는 점과 자율성이 크고 개인 역량을 많이 봐준다는 느낌,1
NAVER, - 네임밸류 - 주식보상 등 현금성 복지체계(많진않지만) - 유연한 근무제도,1
NAVER,커리어향상 좋음같이일하는 동료들 똑똑함부바부이긴하지만 우리팀은 야근 많이하는건 지양하는편연봉 많이올려서 이직함경영진이 소통을 잘하는편인듯,1
NAVER,그래도 수평적인 편.역량을 펼칠 기회도 인프라도 (본인이 잘하면) 있는 편.,1
NAVER,남는시간에 뭘하든 신경쓰지 않는다.재택근무 가능 하다.,1
NAVER,친절히 알려주는 고수가 많고 세미나가 많고 정보가 많은 회사,1
NAVER,나름 자유로운 분위기 / 저년차 주니어에게는 성장하기 좋음,1
NAVER,자유 분방했고 우리 팀원분들 분위기도 정말 좋았음 꼰대 문화는 진짜 없었던거 같고 수평적이고 완벽한 자율출퇴근제였음,1
NAVER,커리어적인 측면과 업무과제들이 개인적인 성장에도 도움이됨,1
NAVER,자율츌퇴근개발자 우선 문화(팀바팀)성장을 염두에 둔 좋은 동료들,1
NAVER,"좋은 부서에 배치 받으면 급여, 문화 등등 모두 만족하면서 다닐 수 있는 회사",1
NAVER,임직원을 많이 생각해준다는 느낌을 받음전반적으로 만족하지만 내가 여기서 월등하게 성장할수잇을지는.잘.모르겟음,1
NAVER,개인적인 대소사나 개인의 능력과 상황을 잘 고려해준다. 다양한 사람들을 존중해준다.,1
NAVER,"팀바팀, 부바부 좋은 사람들이 비교적 많다. 뛰어난 동료가 있어 같이 성장하기 좋다.",1
NAVER,- 뛰어난 팀원들- 실제로 많이 사용되는 서비스에 기여할 수 있다- 유연한 근무제도- 조식자판기,1
NAVER,사무실 복지가 좋고 재택이 자유로운 점이 최고임 다들 열심히 일하는 분위기,1
NAVER,실력있고 훌륭한 동료들과 같이 성장할 수 있는 기회가 많다,1
NAVER,"아침 점심 저녁 무료(아침은 자판기)괜찮은 연봉과 복지원격근무 가능, 업무기기 지원금 등",1
NAVER,재택근무가 자유로우며 업무에대해서도 스스로 알아서 저유롭게 함,1
NAVER,재택할 수 있어서 좋음.실력있는 개발자들과 같이 일할 수 있어서 좋다,1
NAVER,당연히 팀바팀 부바부이지만 웬만해선 노는 사람은 없다고 느껴짐,1
NAVER,재택근무책임근무제부모님실비소통방식일잘하는 멋쟝이 동료들도 많아서 굿,1
NAVER,집같이 편한 사내 분위기꿀리지않는 연봉퇴근이 자유로운 워라벨,1
NAVER,좋은 동료들로부터 많이 배울 수 있고 성장과 변화에 대한 에너지도 존재,1
NAVER,자율 출퇴근제식비 지원회사 인지도부모 실비 보험 지원,1
NAVER,"대규모 트래픽, 잘 갖춰진 사내 인프라, 적정수준의 복지, 실력있는 동료들.배울 건 무궁무진하다.",1
NAVER,똑똑한 사람들 겁나 많음업무 순환이 유연함사람들이 좋음,1
NAVER,"합리적인 의사결정자율성풀재택 가능개인업무 지원비로 다양한 거 쓸수있음(통신비, 냇플릭스 등)잘 안나가지만 건물이 조음",1
NAVER,체험형 인턴이었기에 불만 없이 6개월 다녔습니다. 하지만 선배들 보면 일이 많아 항상 바빠보였어요. 바쁜 와중에서도 인턴을 잘 챙겨주셔서 감사한 기억만 있습니다. 무엇보다 똑똑한 선배들과 일하며 많이 배울 수 있다는 점이 정말 좋았습니다. ,1
NAVER,팀바팀이겠지만 커리어 성장을 할 수 있는 기회가 많은 편이다.급여나 복지도 괜찮은 편이다.경영진들이 투명하게 공유하려고 노력하는 것 같다.,1
NAVER,확실한 재택근무.사내 플랫폼이 잘 되어 있어서 일하기가 쉬움,1
NAVER,뛰어난 동료다양한 업무기기 지원자유로운 근무환경 간편한 사내 시스템,1
NAVER,"최대한 실용적이고 다양한 복지를 제공하려고 노력하는게 느껴졌고 실제로 많은 도움이 되었다.그리고 다들 똑똑하고, 일이 많아 정신 없는 와중에도 서로 매너 지키고 배려하려는 게 느껴짐.",1
NAVER,"다들 열심히 일하는 팀원들, 능력 있는 동시에 친절한 동료들",1
NAVER,"대기업의 인프라, 복지, 시설 등등 기본적인 것들이 잘되어있음",1
NAVER,복지가 세세하게 많음건물에 병원도 있음재택 풀로 가능,1
NAVER,"일에 몰입할 수 있게 다른 고민해야하는 부분들 (삼시세끼, 작업환경 등등)에 대한 신경을 많이 써주고, 원한다면 재택근무나 이런 것이 원활하다",1
NAVER,뛰어난 동료들책임감 있는 사람들업계 상위권 연봉국내에서 가장 큰 서비스를 개발한다는 점네이버다닌다고 하면 알아주는 네임벨류,1
NAVER,시스템으로 일할 수 있다밥이 공짜다대기업 다니는 느낌,1
NAVER,"업계 최고라는 자부심복지, 사옥 좋음사옥내 밥 맛있음보상도 나름 나쁘지 않음",1
NAVER,훌륭한 사람들과 일한다는 점.전반적으로 복지가 좋다는 점.일에 다른 보람을 느낄 수 있다는 점.,1
NAVER,대한민국 it 근간의 회사. 대한민국에서 굵은 이벤트는 모두 들고 있는 회사.,1
NAVER,재택근무 가능이 가장 큰 매리트업무 핏 맞으면 재밌는 일도 많음,1
NAVER,"복지 좋음, 팀바팀이지만 워라밸 좋은 곳 있음, 재택 선택 가능한 점...?",1
NAVER,재택근무자유로운 업무 시간세심한 복지(출근시 점시 저녁 무료 등),1
NAVER,"같이 근무하는 사람들이 실력있고, 서비스 규모도 커서 일이 재미있다.",1
NAVER,타사에 비해 새로운 의견도 수용하는 회사본인 욕심이 있으면 직급이 좀 낮아도 프로젝트에서 역할을 할 수 있음,1
NAVER,커리어 복지 워라밸 연봉 다 챙길수 있음. 뛰어난 역량을 가진 동료들이 많음,1
NAVER,복지는 진짜 좋아요. 사람들도 능력있고 나이스한분들 배울점있고. ,1
NAVER,사옥이 좋다밥이 맛있다동료들이 훌륭하다풀재택이다정자역에 있다ㅎㅎ,1
NAVER,재택근무가 좋고 신사옥에서 근무할수있다는 점 인지도가 괜찮음,1
NAVER,많은 개발자들이 거쳐간 회사로 레거시와 신생 프로젝트 둘다 경험해 볼수 있는 곳,1
NAVER,성장가능성 높음배울 것 많음리소스 나쁘지 않음풀재택,1
NAVER,"직원 복지업무 환경개발자 성장 지원 (교육, 세미나, 밋업 등)",1
NAVER,연봉 복지 문화 등 크게 흠잡을 곳이 없습니다. 직원의 목소리가 어느정도 반영되는 분위기입니다.,1
NAVER,자율적인 근무제도.업계 평균이상의 실력이쏜 동료들.부바부로 차이는 있지만 적당한 워라벨.새 경영진들의 소통노력,1
NAVER,"복지, 연봉, 인센, 업무공간, 능력있는 동료, 다양한 경험",1
NAVER,식사 무료 제공개인업무지원비 연간360가족상해보험훌륭한 네임밸류,1
NAVER,풀재택 가능일이 체계적으로 관리 및 진행되어감개발하는데 어느정도 자율성이 주어짐,1
NAVER,실력있는 동료와 자유로운 근무 여건. 재택 근무 지원도 잘되어있음,1
NAVER,개인의 자율성을 존중하고 그것을 바탕으로 새로운 시도를 한다,1
NAVER,같이 일하는 동료분이 좋단 것과 워라벨이 지켜진다는 것,1
NAVER,"한국의 대표IT 기업에 있다는 자부심, 여러가지 복지혜택들",1
NAVER,뭔가 아쉬운 면은 있지만 나름 있을거는 다 있다네임벨류가 높은편,1
NAVER,성장하기 좋음자유도가 높음나쁘지 않은 보상뛰어난 동료들,1
NAVER,풀재택하고싶으면 이만한 선택지가 없다.워라밸 챙길거면 얼마든지 챙길 수 있다.,1
NAVER,"재택근무 가능소소한 복리후생오피스 환경(병원, 은행, 편의점 등등)",1
NAVER,리모트 오피스 고를수있음 그나마 처후가 나쁘지않다 네임벨류,1
NAVER,"멋진 사옥, 더 멋진 근무제동종업계 최고수준 처우전국민이 아는 서비스를 개발한다는 자부심",1
NAVER,보상 복지 측면에서 꽉 찬 육각형 안정적인 IT대기업다양한 서비스를 접할 수 있음,1
NAVER,각종 체계와 복지가 잘 잡혀있음내가 없어도 잘 굴러감,1
NAVER,생각과 방향에 대해 재정립하게 해줌.많은 복지와 자율 스케줄링.,1
NAVER,사람들이 좋고 스마트함일하기편함. 인프라훌륭함.밥도주고.일에몰입할수있게함.복지도훌륭함네부심있음,1
NAVER,주니어급이 규모가 있는 서비스를 경험하기에는 좋은 회사입니다. 배울것도 많고 복리후생도 좋아요,1
NAVER,급여인센티브재택근무실손보험개인업무지원비리프레시휴가휴양시설 기타 다양한 복리후생,1
NAVER,높은 급여와 복지들좋은 동료들기술성장하기 좋은 환경들,1
NAVER,여러모로 평타 이상한다고 생각함커리어 욕심있는 동료들 꽤 있고팀마다 에이스 한명쯤은 있어보임,1
NAVER,워라벨  초과근무수당  (어디나 다 그렇듯 바쁠때는 바쁨)재택근무 ,1
NAVER,나름 충분한 보상과 복지 욕심내는만큼 기술적 성장이 가능한 환경선진적(?) 개발 문화,1
NAVER,자유로움대용량 트래픽사용자들이 많이 쓰는 서비스프로젝트 하나를 해도 왜 하는지 납득이 가는 프로젝트들,1
NAVER,"- 팀바팀이지만, 업무 시간 자체는 자유로움. 터치도 적고- 직원 복지 우수",1
NAVER,자율과 책임 문화. 대기업인데 스타트업처럼 빠르게 움직임. 사람들 인성 좋음.,1
NAVER,풀재택 가능한게 매우매우 큰 장점배울점 많은 동료와 좋은 팀 분위기도 매우 장점(팀바팀),1
NAVER,재택 문화가 잘 정착 되어있고 근무시간이 유동적이기 때문에 업무 집중도가 오히려 좋음,1
NAVER,"빵빵한 복지, 팀바팀이긴 해도 전반적으로 유연하고 열린 문화",1
NAVER,연차가 낮아도 꽤 다양한 프로젝트에 참여할 수 있는 기회가 있음업계평균과 같거나 살짝 높은 수준의 연봉과 복지,1
NAVER,자율출근제로 인한 출퇴근시간 압박이없고 자유로움재택근무가능,1
NAVER,자유롭게 도입하고 싶은 기술을 도입할 수 있다팀원들 실력이 뛰어남,1
NAVER,재택근무라 출퇴근 시간 아낄 수 있음친절한 팀원사생활 터치하지 않는 개인주의 분위기,1
NAVER,- 잘하는 사람은 따로 챙김- 자율 출퇴근 및 근무제,1
NAVER,업무를 자율적으로 진행 가능주도적으로 원하는 방향으로 드라이브 가능토론 및 합리적 의사결정 가능,1
NAVER,업계 최고의 대우와 수준 높은 동료들커리어 향상은 보장되는 회사,1
NAVER,일 외에 다른 것은 최대한 신경쓰지 않을 수 있도록 해 줌,1
NAVER,높은 연봉양가 부모 실비원하는 대로 재택/오피스 근무,1
NAVER,재택근무종종가서 좋은 회사내 적성에 맞는 직무와 그걸 할 수 있는 회사,1
NAVER,유연근무 잘 써서 연차를 아낄수있음재택으로 직주근접 그닥 필요없음,1
NAVER,"네이버라는 네임밸류, 멋진사옥사옥 밥 무료평균이상의 급여, 복지",1
NAVER,사내 플랫폼 출중하고 국내 이만한 기업이 없어 이직 생각이 들지 않을듯,1
NAVER,주니어부터 시니어까지 커리어를 쌓고 성장하기에는 좋은회사같다. 최근 임원진 교체로 회사문화가 조금씩 좋게 바뀌어가는 양상이 보임,1
NAVER,"경험많은 동료들, 신입으로 시작하기 좋음, 단 오래다닐수록 손해느낌",1
NAVER,1784 근무환경이 좋음회사생활에 필요한 대부분의 인프라가 갖춰져 있음 (담당자 찾고.. 대면하고.. 할 일이 거의 없음),1
NAVER,복지 좋고 일할때 지원이 정말 좋다하루세끼 다 제공업무포인트가있어서 노트북 세대도 보유가능사람들이 똑똑하다,1
NAVER,임원진의 커뮤니케이션방법 직원들과 소통하려는게 눈에 보임,1
NAVER,이 정도 규모에서 풀재택할 수 있는 선택지를 주는 곳이 얼마 없긴하다식비도 지원되고 복지 이것저것 빵빵하다네임밸류 좋고 인프라 플랫폼 잘되어 있는 거 같다잘만하면 배워갈 게 많을듯 하다,1
NAVER,수평적인 문화와 재택근무 때문에 스트레스가 적다는게 장점,1
NAVER,"좋은 동료, 성장할 수 있는 업무 환경. 자율적인 업무. 회사밥 맛있음. 동기에 맞는 업무 진행 가능",1
NAVER,수평적인 분위기만족스러운 연봉좋은 프로젝트 기회밥 맛있음,1
NAVER,완전한 자율근무제라 시간활용이 가능하고 점심 저녁이 무료입니다(구내식당 기준),1
NAVER,"조식 자판기, 구내식당, 다과 무한제공, 허먼밀러 의자 ",1
NAVER,"엄청난 복지, 연봉, 사내분위기 그냥빠지는것 없음. 사내분위기도 좋고, 무엇보다 사옥내에서모든것 해결가능.",1
NAVER,네임벨류높은 급여복지 (스톡그랜트)재택근무유연근무제,1
NAVER,재택근무 회사 밥 공짜CEO 교체 후 복지 좋아짐나쁘지 않은 연봉,1
NAVER,동료가 좋다. 커리어에 대한 욕심이 많은 동료들로부터 자극받는다.,1
NAVER,-복지가 좋다: 구내식당 점심저녁 무료. 가족 실비 지원. 업무지원비 매달 30만원 지급. 사내카페. 쾌적한 사무실-회사가 직원들 불만이나 블라 눈치를 보는 것 같다-(아직은) 사람 때문에 스트레스 받은 적이 없다. 상식적인 사람들이 대부분 모인것 같다-재택/오피스 선택 근무제가 짱이다,1
