토큰화,갯수
하다,11362
있다,7650
좋다,5632
많다,4641
없다,4406
회사,4137
업무,2960
복지,2951
되다,2944
않다,2534
사람,2500
문화,2374
동료,1695
분위기,1664
연봉,1656
같다,1465
자다,1450
보상,1204
생각,1186
직원,1157
라벨,1090
자유롭다,1090
수평,1058
보다,1033
근무,992
재택근무,991
조직,983
높다,957
배우다,929
체계,902
아니다,895
시간,871
급여,870
성장,865
성장하다,848
크다,812
받다,800
개발,795
느낌,784
부서,724
야근,720
재택,716
커리어,710
환경,702
장점,683
기업,675
경험,674
모르다,672
가능,672
팀바팀,656
이다,653
되어다,649
다니다,643
서비스,625
성과,600
대한,598
사내,597
영진,597
들다,595
적다,584
다양하다,557
부바,547
빠르다,546
연차,543
단점,542
리더,539
괜찮다,536
심하다,535
힘들다,534
개인,526
수준,521
시스템,521
개발자,520
알다,517
보장,516
매우,512
대기업,510
능력,508
따르다,505
안되다,502
낮다,500
정도,494
주다,486
기회,485
자율,481
비다,473
정말,460
다른,457
해주다,453
실력,438
그렇다,424
때문,421
사용,418
경우,414
의사결정,410
출퇴근,408
최고,407
가능하다,406
다르다,403
본인,399
챙기다,392
부분,391
업계,383
힘드다,379
눈치,369
자유,365
오다,357
지원,352
바뀌다,352
계속,348
평가,346
휴가,345
소통,344
강도,342
별로,341
해보다,337
외국인,334
쿠팡,334
싶다,333
대비,330
진행,329
제도,325
신입,325
나쁘다,324
쉬다,321
구조,319
입사,318
경력,317
네이버,310
개인주의,307
하나,307
인하다,306
프로세스,302
수직,302
가다,300
편하다,296
만들다,296
짜다,295
점점,290
무량,290
어렵다,288
조금,286
글로벌,286
사업,285
출근,285
딱하다,282
주변,281
어려움,279
노력,277
부족하다,277
경영,275
월급,274
이직,271
기준,271
거의,270
새롭다,270
편이,269
경쟁,268
쓰다,265
프로젝트,264
영어,263
정치,263
기술,262
뛰어나다,262
코로나,260
느끼다,257
변화,257
보고,256
비교,256
바쁘다,251
나름,247
임밸류,246
자기,246
만큼,245
스스로,244
의견,243
세다,243
진짜,242
도움,239
서로,238
문제,237
야하다,232
스트레스,232
보이다,231
임원,229
발전,229
대부분,226
맞다,225
모두,225
아쉽다,225
처우,225
시키다,224
압박,224
모든,224
똑똑하다,223
그냥,221
구성원,217
훌륭하다,215
향상,214
적당하다,213
가장,212
인물,212
나오다,212
자주,209
나가다,208
협업,208
찾다,206
쌓다,206
로움,204
유연하다,202
카카오,201
잦다,201
퇴근,201
지키다,200
가끔,199
수당,198
존중,192
젊다,192
느껴지다,192
기본,190
적응하다,190
결정,190
차이,187
역량,187
한국,186
규모,186
타다,185
책임,185
가능성,184
확실하다,183
인사,182
어떻다,182
일정,180
크게,179
인상,178
사옥,178
다운,177
국내,177
전반,176
필요하다,175
들어오다,175
진의,175
근무시간,174
이상,173
개선,171
계약,171
만나다,170
떨어지다,170
원하다,170
존재,169
위치,169
방식,169
레벨,169
보임,166
효율,166
강하다,165
팀원,164
쓸다,163
스타트업,163
처리,163
먹다,161
커뮤니케이션,159
들이다,159
위해,159
일만,158
생기다,157
주니어,156
일이,155
꼰대,155
대해,155
이미지,154
적응,151
상대,151
외부,151
운영,151
속도,151
만족하다,149
오피스,149
자체,149
최근,149
대우,149
실무,148
인프라,148
매니저,147
혼자,147
내부,146
잡히다,145
교육,145
직장,144
회의,144
포괄,144
마인드,143
부족,143
일본,141
갈다,141
열정,139
신경,139
아주,139
수도,139
식당,137
갖추다,137
목표,135
집중,135
공유,134
직문,134
가지,134
등등,134
외국,133
항상,133
바이,132
퇴사,131
인재,131
내다,131
도전,130
방향성,130
인력,129
유연근무제,128
임금,127
다소,126
시도,126
전체,125
풀재택,125
이름,124
상황,124
맞추다,124
제대로,124
이상하다,123
굉장하다,123
여러,123
치다,123
라면,123
이렇다,123
이겠다,123
처음,122
제공,122
방향,122
데이터,122
라인,121
평균,121
무제,121
이후,120
사무실,120
합리,120
느리다,120
관리,120
안정,120
우리,120
상위,120
나다,119
미래,118
혜택,118
의지,117
전혀,117
여기,117
자율성,117
정규직,116
승진,115
케바케,115
관련,114
고민,114
자부심,114
직급,113
멀다,112
좋아하다,112
각자,112
신규,112
어디,112
시설,110
주먹구구,110
부다,110
일단,110
돌아가다,110
안좋다,109
일부,109
답답하다,108
끼리,108
인정,108
만족스럽다,108
보수,107
실적,107
사실,107
해도,107
주도,107
지금,106
기대하다,106
센티,105
걸리다,105
시작,104
좋아지다,104
커지다,103
명확하다,103
해외,103
많아지다,102
욕심,102
대체로,102
필요,102
건물,102
이해,102
이제,101
엄청나다,101
누구,100
실제,100
온보딩,99
해결,99
마음,99
보험,99
중요하다,99
친절하다,99
일해,98
성향,98
발생,98
구내식당,98
지다,97
터치,97
충분하다,96
주어지다,96
선택,96
기획,96
안보,96
적임,95
대표,95
빼다,95
직무,94
만족,94
아쉬움,94
관계,93
늘다,93
또한,93
이슈,93
뭔가,92
돼다,92
뽑다,92
트래픽,91
불만,91
생활,91
상당하다,90
애매하다,90
중심,90
자리,90
적극,89
시니어,89
이동,89
넘다,89
권한,89
끄다,89
완전,88
비슷하다,88
이건,87
관심,87
이기다,86
부재,86
절대,86
상사,86
어리다,86
약간,86
위주,86
카페,85
올라가다,85
매일,85
여러가지,85
은근,85
현재,84
칼퇴,84
추천,84
부지,84
주말,83
관리자,82
과정,82
살아나다,82
버리다,82
최악,82
휴무,82
무엇,81
배송,81
요즘,81
배려,81
공부,81
자판기,81
유지,80
인원,80
사라지다,80
종종,80
강요,79
안식,79
소소하다,79
채용,79
써다,78
가족,78
추가,78
찾기,77
스럽다,77
맛있다,77
미치다,77
부담,77
전환,77
이유,77
정책,77
착하다,76
닉네임,76
남다,76
오르다,75
버티다,75
도서,75
정신,74
포기,74
로서,74
한번,74
얼마,74
복잡하다,74
늘어나다,74
중간,74
넣다,73
걱정,73
채우다,73
자신,73
